unit_id,session_id,cell_type,brain_area,channel,quality,genotype
950915483,715093703,Sst,grey,850263084,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950921088,715093703,Sst,grey,850263090,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950915921,715093703,Sst,grey,850263158,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950915984,715093703,Sst,grey,850263162,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950915947,715093703,Sst,grey,850263160,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916009,715093703,Sst,grey,850263166,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950915997,715093703,Sst,grey,850263166,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916273,715093703,Sst,grey,850263194,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916447,715093703,Sst,grey,850263198,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916395,715093703,Sst,grey,850263196,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916377,715093703,Sst,grey,850263196,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950921601,715093703,Sst,grey,850263202,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950921163,715093703,Sst,grey,850263202,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916519,715093703,Sst,grey,850263202,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916603,715093703,Sst,grey,850263204,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916413,715093703,Sst,grey,850263204,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950921176,715093703,Sst,grey,850263210,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917295,715093703,Sst,grey,850263210,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916921,715093703,Sst,grey,850263210,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916754,715093703,Sst,grey,850263210,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916733,715093703,Sst,grey,850263210,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917063,715093703,Sst,grey,850263212,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950916980,715093703,Sst,grey,850263212,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917332,715093703,Sst,grey,850263218,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917313,715093703,Sst,grey,850263218,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917411,715093703,Sst,grey,850263216,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917669,715093703,Sst,grey,850263226,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917604,715093703,Sst,grey,850263224,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950921299,715093703,Sst,grey,850263228,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917769,715093703,Sst,grey,850263228,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917785,715093703,Sst,grey,850263232,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917899,715093703,Sst,grey,850263236,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950917849,715093703,Sst,grey,850263236,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918052,715093703,Sst,grey,850263244,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918280,715093703,Sst,VISpm,850263270,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918261,715093703,Sst,VISpm,850263270,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918246,715093703,Sst,VISpm,850263270,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918191,715093703,Sst,VISpm,850263268,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918175,715093703,Sst,VISpm,850263268,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918344,715093703,Sst,VISpm,850263274,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918310,715093703,Sst,VISpm,850263274,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918381,715093703,Sst,VISpm,850263278,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918362,715093703,Sst,VISpm,850263276,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918294,715093703,Sst,VISpm,850263276,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918422,715093703,Sst,VISpm,850263282,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950918491,715093703,Sst,VISpm,850263284,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
